actual,proposed
0.30000463128089905,0.3808944821357727
0.3015044629573822,0.3185797929763794
0.30300432443618774,0.318715363740921
0.3045041859149933,0.31882357597351074
0.30600404739379883,0.3189687728881836
0.30750390887260437,0.31907758116722107
0.3090038001537323,0.3192049264907837
0.15238399803638458,0.22701101005077362
0.15276455879211426,0.24553833901882172
0.15529286861419678,0.22209438681602478
0.15776026248931885,0.22617320716381073
0.1601690798997879,0.2135627567768097
0.15519747138023376,0.22697360813617706
0.1531791090965271,0.21570973098278046
0.1467219442129135,0.2182893306016922
0.13588865101337433,0.19852016866207123
0.12945690751075745,0.19110378623008728
0.11864502727985382,0.2059096395969391
0.10351292043924332,0.18202482163906097
0.0841178223490715,0.19594894349575043
0.06923216581344604,0.1709747016429901
0.05006934329867363,0.16800783574581146
0.026684356853365898,0.1598728746175766
0.003488851711153984,0.17132548987865448
0.0,0.0987100750207901
0.0,0.1417219340801239
0.0,0.13855160772800446
0.0,0.1068757027387619
0.0,0.09132640808820724
0.0,0.08701328188180923
0.0,0.08213087171316147
0.0,0.0690128356218338
0.0,0.06551991403102875
0.0,0.06089270859956741
0.0,0.04763025417923927
0.0,0.01692439615726471
0.0,0.009448670782148838
0.0,0.0047592041082680225
0.0,0.01527599710971117
0.0,0.0
0.0,0.00699656642973423
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.800000011920929
0.0,0.10299981385469437
0.00997406430542469,0.06776203215122223
0.022319070994853973,0.09846959263086319
0.043141577392816544,0.0993872731924057
0.05925390496850014,0.10104124993085861
0.075090691447258,0.09867841750383377
0.09938178211450577,0.1128385066986084
0.11894083023071289,0.1143949031829834
0.1294858455657959,0.11343608796596527
0.15294551849365234,0.1235971450805664
0.1629919409751892,0.12331073731184006
0.17725719511508942,0.1272149384021759
0.19132819771766663,0.13066452741622925
0.20085477828979492,0.13379156589508057
0.20590564608573914,0.13312149047851562
0.2109055519104004,0.1350550651550293
0.22021591663360596,0.13877546787261963
0.2207016497850418,0.1381407529115677
0.22556547820568085,0.1414307951927185
0.22215233743190765,0.14664725959300995
0.20591920614242554,0.13401775062084198
0.20239366590976715,0.13294975459575653
0.1858556866645813,0.12793892621994019
0.1577950268983841,0.12162124365568161
0.11754992604255676,0.11142135411500931
0.09782540798187256,0.09934135526418686
0.07399089634418488,0.0971197634935379
0.04609508067369461,0.0940314307808876
0.018543172627687454,0.09014786034822464
3.7017241993453354e-05,0.06872396171092987
0.0,0.0573224201798439
0.0,0.04729142040014267
0.0,0.03156042471528053
0.0,0.037334781140089035
0.0,0.00845327042043209
0.0,0.009009972214698792
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.010176559910178185
0.0,0.030667396262288094
0.0,0.0079921530559659
0.0,0.03918237239122391
0.0,0.0
0.0,0.038080792874097824
0.0,0.029554544016718864
0.0,0.03243335708975792
0.0,0.030425386503338814
0.0,0.045216549187898636
0.0,0.03966513276100159
0.0,0.04687719792127609
0.0,0.04312337934970856
0.004526791628450155,0.055047981441020966
0.014730039983987808,0.04661760851740837
0.024763567373156548,0.0537354052066803
0.031334370374679565,0.05467277020215988
0.036721475422382355,0.0557774193584919
0.037659935653209686,0.05442006513476372
0.04817967116832733,0.05607111379504204
0.05328323692083359,0.05755550414323807
0.06266822665929794,0.06097139045596123
0.050709523260593414,0.057971831411123276
0.03832881897687912,0.055705420672893524
0.030473140999674797,0.05067075416445732
0.027074240148067474,0.053248532116413116
0.019349420443177223,0.04655880481004715
0.01607506535947323,0.04621671885251999
0.012827565893530846,0.04776136204600334
0.013964492827653885,0.04345260560512543
0.006347143556922674,0.045750755816698074
0.0031744157895445824,0.04058198630809784
2.2924399672774598e-05,0.041797004640102386
0.0,0.04217446967959404
0.0,0.037713900208473206
0.0,0.03287079185247421
0.0,0.03471183404326439
0.0,0.03519095480442047
0.24316257238388062,0.03021428734064102
0.24158048629760742,0.800000011920929
0.240006223320961,0.19665706157684326
0.2412363886833191,0.19712722301483154
0.23962022364139557,0.1982928216457367
0.23801171779632568,0.1891489177942276
0.23641033470630646,0.19443492591381073
0.23481501638889313,0.18896105885505676
0.2332252711057663,0.19209562242031097
0.23164063692092896,0.18197430670261383
0.22570110857486725,0.19175350666046143
0.21546685695648193,0.17717434465885162
0.2053537666797638,0.17582598328590393
0.18110856413841248,0.17578238248825073
0.16702581942081451,0.1664261668920517
0.15309925377368927,0.15304532647132874
0.13932135701179504,0.16110029816627502
0.12132584303617477,0.14889389276504517
0.10352461785078049,0.15345151722431183
0.08154941350221634,0.1350891888141632
